Computers and electric accessories,Item_6_CEA,12.50
Electric household essentials,Item_6_EHE,12.50
Food,Item_6_FOOD,12.50
Furniture,Item_6_FUR,12.50
Milk Products,Item_6_MILK,12.50
Patisserie,Item_6_PAT,12.50
Beverages,Item_7_BEV,14.00
Butchers,Item_7_BUT,14.00
Computers and electric accessories,Item_7_CEA,14.00
Electric household essentials,Item_7_EHE,14.00
Food,Item_7_FOOD,14.00
Furniture,Item_7_FUR,14.00
Milk Products,Item_7_MILK,14.00
Patisserie,Item_7_PAT,14.00
Beverages,Item_8_BEV,15.50
Butchers,Item_8_BUT,15.50
Computers and electric accessories,Item_8_CEA,15.50
Electric household essentials,Item_8_EHE,15.50
Food,Item_8_FOOD,15.50
Furniture,Item_8_FUR,15.50
Milk Products,Item_8_MILK,15.50
Patisserie,Item_8_PAT,15.50
Beverages,Item_9_BEV,17.00
Butchers,Item_9_BUT,17.00
Computers and electric accessories,Item_9_CEA,17.00
Electric household essentials,Item_9_EHE,17.00
Food,Item_9_FOOD,17.00
Furniture,Item_9_FUR,17.00
Milk Products,Item_9_MILK,17.00
Patisserie,Item_9_PAT,17.00
